Transaction_ID,Customer_ID,Product,Quantity,Price_per_Unit,Total_Amount,Discount,Payment_Method,Store_Location,Customer_Category,Customer_Age,Customer_Gender,Month,Product_Demand_Score,Cross_Sell_Potential
T10018,C593,Salt,2,148.51,252.47,15,Net Banking,Delhi,Regular,23,Male,1,0.66,0.77
T10019,C294,Tea,5,235.83,1120.19,5,Net Banking,Chennai,Rare,34,Male,1,0.78,0.1
T10020,C471,Soap,1,338.94,321.99,5,UPI,Hyderabad,Regular,40,Female,1,0.6,0.89
T10021,C731,Soap,6,89.47,483.14,10,Debit Card,Delhi,Regular,59,Female,1,0.24,0.74
T10022,C235,Juice,9,248.36,2235.24,0,Debit Card,Chennai,Rare,54,Female,1,0.39,0.17
T10023,C225,Soap,1,371.88,371.88,0,UPI,Delhi,Rare,45,Male,1,0.6,0.91
T10024,C138,Tea,3,434.76,1239.07,5,UPI,Hyderabad,Rare,33,Male,1,0.12,0.54
T10025,C888,Cheese,7,316.87,1996.28,10,Net Banking,Kolkata,Rare,29,Male,1,0.49,0.69
T10026,C311,Toothpaste,4,337.84,1283.79,5,Net Banking,Hyderabad,Regular,38,Male,1,0.78,0.89
T10027,C160,Atta,9,71.88,517.54,20,Debit Card,Mumbai,Regular,41,Female,1,0.25,0.89
T10028,C713,Coke,3,473.43,1136.23,20,Credit Card,Kolkata,Rare,45,Female,1,0.16,0.47
T10029,C568,Biscuit,5,74.96,337.32,10,Debit Card,Pune,Regular,54,Female,1,0.85,0.31
T10030,C428,Salt,3,389.59,1110.33,5,Cash,Ahmedabad,Regular,38,Male,1,0.66,0.33
T10031,C610,Butter,7,139.76,880.49,10,Net Banking,Mumbai,Regular,50,Male,1,0.26,0.79
T10032,C663,Coke,5,467.46,2220.43,5,Net Banking,Chennai,Rare,19,Female,1,0.83,0.94
T10033,C540,Pepsi,9,362.78,3101.77,5,UPI,Kolkata,Regular,54,Female,1,0.69,0.17
T10034,C833,Juice,7,379.37,2124.47,20,Debit Card,Delhi,Regular,36,Female,1,0.4,0.11
T10035,C635,Maggie,2,117.34,199.48,15,Credit Card,Ahmedabad,Rare,45,Male,1,0.44,0.84
T10036,C202,Coke,4,227.09,908.36,0,UPI,Pune,Regular,32,Female,1,0.24,0.45
T10037,C502,Shampoo,9,312.73,2814.57,0,Credit Card,Chennai,Regular,18,Male,1,0.85,0.35
T10038,C290,Butter,2,387.29,697.12,10,Debit Card,Chennai,Regular,60,Female,1,0.56,0.27
T10039,C107,Tea,9,60.94,548.46,0,Net Banking,Bangalore,Regular,45,Female,1,0.6,0.41
T10040,C186,Sugar,5,481.56,1926.24,20,Cash,Delhi,Rare,52,Male,1,0.9,0.97
T10041,C298,Salt,2,446.21,758.56,15,Cash,Chennai,Regular,49,Male,1,0.11,0.98
T10042,C936,Tea,4,142.47,541.39,5,UPI,Hyderabad,Regular,45,Male,1,0.16,0.4
T10043,C586,Atta,7,413.15,2747.45,5,Net Banking,Chennai,Regular,26,Female,1,0.25,0.97
T10044,C278,Toothpaste,8,263.98,1689.47,20,Net Banking,Bangalore,Rare,41,Male,1,0.13,0.37
T10045,C25,Butter,3,236.29,708.87,0,Net Banking,Kolkata,Rare,21,Female,1,0.69,0.87
T10046,C707,Milk,1,164.07,155.87,5,Net Banking,Mumbai,Regular,62,Male,1,0.67,0.29
T10047,C133,Salt,4,294.67,1178.68,0,Cash,Delhi,Rare,58,Female,1,0.29,0.84
T10048,C345,Paneer,2,367.65,588.24,20,Debit Card,Bangalore,Rare,20,Male,1,0.23,0.42
T10049,C836,Salt,8,211.36,1606.34,5,Net Banking,Pune,New,39,Male,1,0.23,0.28
T10050,C50,Tea,4,318.32,1145.95,10,Net Banking,Kolkata,Regular,57,Female,1,0.96,0.94
T10051,C512,Butter,2,352.66,599.52,15,Credit Card,Pune,Regular,56,Male,1,0.72,0.29
T10052,C821,Sugar,6,358.45,2150.7,0,Credit Card,Bangalore,Regular,42,Female,1,0.63,0.99
T10053,C949,Atta,6,35.46,212.76,0,Cash,Delhi,Regular,39,Female,1,0.39,0.2
T10054,C19,Coffee,4,431.28,1725.12,0,Net Banking,Pune,Rare,64,Female,1,0.49,0.11
T10055,C153,Cheese,6,234.54,1407.24,0,Credit Card,Delhi,Rare,51,Male,1,0.18,0.88
T10056,C132,Tea,2,138.58,221.73,20,Net Banking,Mumbai,New,37,Female,1,1.0,0.63
T10057,C870,Sugar,2,128.46,205.54,20,UPI,Delhi,Rare,53,Male,1,0.78,0.48
T10058,C112,Chocolate,4,246.68,789.38,20,Debit Card,Pune,Rare,54,Male,1,0.66,0.17
T10059,C84,Soap,8,444.55,2845.12,20,Net Banking,Delhi,Regular,56,Female,1,0.63,0.62
T10060,C648,Rice,7,195.39,1299.34,5,Cash,Hyderabad,Regular,44,Male,1,0.55,0.45
T10061,C695,Milk,9,377.37,2717.06,20,UPI,Bangalore,Rare,64,Female,1,0.33,0.54
T10062,C311,Salt,8,57.44,436.54,5,Net Banking,Ahmedabad,Regular,49,Female,1,0.3,0.67
T10063,C516,Paneer,5,243.27,1094.72,10,Credit Card,Hyderabad,Regular,59,Female,1,0.59,0.68
T10064,C615,Pepsi,2,495.93,793.49,20,UPI,Bangalore,Rare,46,Female,1,0.16,0.96
T10065,C882,Toothpaste,5,387.51,1743.8,10,Debit Card,Pune,Regular,58,Female,1,0.17,0.69
T10066,C625,Paneer,8,113.16,724.22,20,Credit Card,Hyderabad,Rare,49,Female,1,0.6,0.41
T10067,C836,Shampoo,9,255.71,2071.25,10,Cash,Mumbai,Regular,41,Male,1,0.93,0.4
T10068,C988,Oil,9,124.48,952.27,15,Debit Card,Hyderabad,Regular,20,Male,1,0.92,0.53
T10069,C363,Oil,1,210.68,189.61,10,Cash,Pune,Regular,44,Male,1,0.11,0.33
T10070,C830,Salt,9,392.24,3353.65,5,UPI,Delhi,Regular,26,Male,1,0.2,0.44
T10071,C682,Coffee,7,387.9,2715.3,0,Cash,Bangalore,Regular,57,Male,1,0.62,0.86
T10072,C978,Sugar,9,121.77,986.34,10,Credit Card,Hyderabad,Regular,40,Female,1,0.86,0.87
T10073,C18,Cheese,8,461.89,3695.12,0,UPI,Pune,Rare,24,Male,1,0.96,0.67
T10074,C396,Coffee,1,300.36,255.31,15,Net Banking,Hyderabad,Regular,34,Female,1,0.87,0.62
T10075,C579,Coffee,8,196.16,1333.89,15,Cash,Chennai,Rare,54,Male,1,0.71,0.48
T10076,C930,Atta,8,255.95,1945.22,5,Cash,Ahmedabad,Regular,24,Male,1,0.28,0.67
T10077,C494,Pepsi,3,306.48,873.47,5,UPI,Chennai,Regular,47,Female,1,0.17,0.83
T10078,C548,Rice,1,284.35,255.92,10,UPI,Kolkata,Regular,30,Male,1,0.14,0.76
T10079,C452,Biscuit,8,248.34,1589.38,20,Net Banking,Chennai,Regular,35,Male,1,0.65,0.13
T10080,C527,Chocolate,3,257.42,656.42,15,Cash,Chennai,Regular,48,Male,1,0.13,0.76
T10081,C232,Shampoo,3,96.44,289.32,0,Net Banking,Ahmedabad,Regular,39,Female,1,0.77,0.75
T10082,C962,Sugar,1,408.24,326.59,20,Credit Card,Chennai,Regular,31,Male,1,0.74,0.19
T10083,C238,Juice,5,275.46,1170.7,15,Cash,Kolkata,Rare,35,Female,1,0.17,0.24
T10084,C458,Oil,7,74.23,467.65,10,Credit Card,Hyderabad,Regular,52,Male,1,0.92,0.81
T10085,C1,Atta,9,385.42,2948.46,15,Cash,Hyderabad,Regular,34,Female,1,0.57,0.6
T10086,C765,Paneer,7,466.9,3104.88,5,Credit Card,Kolkata,Regular,36,Male,1,0.91,0.84
T10087,C362,Chocolate,9,474.18,4267.62,0,Credit Card,Chennai,Regular,48,Female,1,0.91,0.27
T10088,C127,Cheese,8,190.82,1526.56,0,Credit Card,Mumbai,Regular,56,Female,1,0.28,0.13
T10089,C339,Milk,2,76.4,145.16,5,Debit Card,Chennai,Rare,53,Male,1,0.44,0.25
T10090,C135,Soap,1,264.02,211.22,20,Net Banking,Pune,Regular,32,Male,1,0.22,0.51
T10091,C158,Paneer,7,65.18,433.45,5,Net Banking,Delhi,Regular,46,Male,1,0.8,0.57
T10092,C404,Atta,7,467.65,3273.55,0,Debit Card,Bangalore,Regular,57,Female,1,0.55,0.87
T10093,C931,Cheese,8,99.95,719.64,10,Net Banking,Pune,Regular,33,Male,1,0.94,0.74
T10094,C881,Maggie,5,133.86,535.44,20,UPI,Pune,Rare,50,Female,1,0.29,0.99
T10095,C522,Atta,3,209.25,533.59,15,Debit Card,Hyderabad,Regular,42,Male,1,0.72,0.17
T10096,C206,Juice,8,197.75,1423.8,10,Credit Card,Delhi,Rare,33,Male,1,0.99,0.22
T10097,C425,Pepsi,6,399.38,1917.02,20,Net Banking,Delhi,Rare,47,Female,1,0.7,0.18
T10098,C564,Soap,3,233.6,700.8,0,Net Banking,Chennai,Regular,51,Male,1,0.16,0.58
T10099,C10,Shampoo,1,93.68,93.68,0,Credit Card,Kolkata,Regular,19,Male,1,0.63,0.34
T10100,C183,Soap,3,140.93,380.51,10,Cash,Kolkata,Regular,57,Male,1,0.26,0.72
T10101,C608,Biscuit,5,259.47,1037.88,20,Credit Card,Mumbai,Regular,61,Female,1,0.13,0.22
T10102,C838,Coke,3,82.25,209.74,15,Cash,Kolkata,Regular,60,Female,1,0.4,0.19
T10103,C222,Oil,1,309.71,263.25,15,Debit Card,Ahmedabad,Regular,55,Female,1,0.34,0.51
T10104,C794,Shampoo,5,287.22,1364.3,5,Credit Card,Hyderabad,Regular,35,Female,1,0.81,0.44
T10105,C955,Butter,7,360.2,2269.26,10,Debit Card,Pune,Regular,22,Male,1,0.44,0.85
T10106,C730,Oil,7,469.48,2629.09,20,Cash,Bangalore,Regular,64,Male,1,0.76,0.85
T10107,C675,Shampoo,9,457.0,3701.7,10,Net Banking,Mumbai,Regular,57,Male,1,0.11,0.21
T10108,C883,Tea,3,473.58,1207.63,15,Debit Card,Pune,Regular,23,Female,1,0.11,0.83
T10109,C875,Coffee,7,129.91,727.5,20,Debit Card,Bangalore,Regular,29,Male,1,0.13,0.61
T10110,C123,Paneer,1,74.47,74.47,0,Cash,Bangalore,Regular,29,Female,1,0.3,0.55
T10111,C384,Soap,4,158.12,632.48,0,Credit Card,Chennai,Regular,29,Male,1,0.44,0.19
T10112,C672,Salt,4,448.59,1435.49,20,Debit Card,Hyderabad,Rare,26,Female,1,0.65,0.77
T10113,C74,Coke,5,486.31,2188.4,10,Net Banking,Delhi,Regular,59,Female,1,0.99,0.15
T10114,C453,Tea,7,431.07,2715.74,10,Cash,Ahmedabad,Regular,39,Male,1,0.42,0.35
T10115,C308,Shampoo,7,63.91,447.37,0,UPI,Ahmedabad,Rare,33,Female,1,0.15,0.19
T10116,C648,Maggie,4,474.24,1896.96,0,UPI,Chennai,Regular,21,Female,1,0.28,0.58
T10117,C4,Milk,7,217.45,1293.83,15,Credit Card,Kolkata,Rare,20,Male,1,0.91,0.68
T10118,C515,Pepsi,3,14.56,34.94,20,Cash,Pune,Regular,33,Female,1,0.73,0.9
T10119,C109,Pepsi,6,226.77,1224.56,10,Debit Card,Chennai,Regular,31,Female,1,0.81,0.76
T10120,C456,Chocolate,2,32.57,55.37,15,Cash,Chennai,Rare,58,Male,1,0.21,0.96
T10121,C885,Butter,9,276.5,2239.65,10,Net Banking,Pune,Regular,55,Female,1,0.22,0.78
T10122,C876,Butter,5,175.89,879.45,0,Net Banking,Kolkata,Regular,21,Female,1,0.2,0.37
T10123,C488,Coffee,6,241.98,1161.5,20,UPI,Bangalore,Rare,19,Female,1,0.87,0.59
T10124,C436,Rice,4,310.45,1179.71,5,Cash,Bangalore,Regular,27,Male,1,0.29,0.51
T10125,C196,Rice,7,435.71,2439.98,20,Credit Card,Chennai,Regular,28,Male,1,0.68,0.61
T10126,C459,Coffee,9,334.33,2858.52,5,Credit Card,Bangalore,Regular,56,Male,1,0.56,0.61
T10127,C925,Butter,7,222.68,1324.95,15,UPI,Mumbai,Regular,43,Male,1,0.59,0.73
T10128,C152,Juice,1,411.52,390.94,5,Debit Card,Kolkata,Regular,54,Female,1,0.28,0.17
T10129,C185,Milk,1,453.74,431.05,5,Cash,Ahmedabad,Regular,43,Male,1,0.67,0.77
T10130,C170,Atta,9,68.68,525.4,15,Debit Card,Delhi,Regular,21,Male,1,0.14,0.23
T10131,C537,Salt,9,270.65,1948.68,20,Debit Card,Kolkata,Regular,43,Male,1,0.99,0.12
T10132,C666,Oil,4,149.41,507.99,15,Cash,Pune,Regular,55,Male,1,0.12,0.57
T10133,C505,Juice,9,33.06,297.54,0,Cash,Ahmedabad,Regular,45,Female,1,0.15,0.62
T10134,C295,Milk,3,337.59,1012.77,0,UPI,Mumbai,Regular,19,Female,1,0.39,0.13
T10135,C392,Tea,7,432.76,2877.85,5,Net Banking,Delhi,Regular,19,Male,1,0.85,0.56
T10136,C41,Tea,6,89.82,458.08,15,Debit Card,Mumbai,Regular,33,Female,1,0.33,0.58
T10137,C137,Toothpaste,8,408.08,2774.94,15,UPI,Mumbai,Rare,40,Male,1,0.52,0.15
T10138,C879,Cheese,9,428.16,3275.42,15,Credit Card,Ahmedabad,Rare,40,Male,1,0.12,0.74
T10139,C73,Rice,5,458.03,1832.12,20,Net Banking,Mumbai,Regular,30,Female,1,0.17,0.29
T10140,C427,Coffee,1,139.99,125.99,10,UPI,Delhi,Regular,38,Female,1,0.65,0.82
T10141,C886,Pepsi,3,452.94,1222.94,10,Debit Card,Bangalore,Regular,56,Female,1,0.27,0.38
T10142,C374,Paneer,8,167.12,1203.26,10,Debit Card,Bangalore,Regular,42,Female,1,0.72,0.53
T10143,C274,Cheese,6,280.65,1347.12,20,Cash,Chennai,Regular,54,Female,1,0.81,0.9
T10144,C897,Juice,8,34.75,236.3,15,Net Banking,Bangalore,Rare,30,Female,1,0.87,0.83
T10145,C712,Pepsi,9,31.5,255.15,10,Cash,Chennai,Rare,32,Male,1,0.22,0.8
T10146,C709,Sugar,4,362.98,1234.13,15,Credit Card,Kolkata,Regular,45,Female,1,0.51,0.24
T10147,C123,Atta,1,227.8,216.41,5,Debit Card,Mumbai,Regular,20,Male,1,0.95,0.14
T10148,C484,Butter,1,135.58,122.02,10,Cash,Pune,Regular,40,Male,1,0.79,0.65
T10149,C322,Butter,4,103.3,392.54,5,Debit Card,Chennai,Regular,21,Male,1,0.21,0.47
T10150,C490,Shampoo,7,338.28,1894.37,20,Cash,Chennai,Regular,64,Male,1,0.55,0.92
T10151,C575,Pepsi,2,10.2,20.4,0,Credit Card,Ahmedabad,Regular,20,Male,1,0.93,0.41
T10152,C997,Coke,3,404.89,971.74,20,Cash,Mumbai,Regular,56,Female,1,0.5,0.47
T10153,C596,Tea,1,48.83,39.06,20,Net Banking,Chennai,Regular,25,Female,1,0.85,0.57
T10154,C555,Toothpaste,5,103.83,415.32,20,Cash,Hyderabad,Regular,60,Male,1,0.55,0.82
T10155,C684,Pepsi,1,199.26,179.33,10,Cash,Hyderabad,Regular,42,Male,1,0.2,0.34
T10156,C710,Butter,8,247.58,1881.61,5,Net Banking,Hyderabad,Regular,58,Female,1,0.23,0.95
T10157,C658,Coffee,1,183.95,165.56,10,Debit Card,Chennai,Regular,29,Male,1,0.14,0.59
T10158,C812,Maggie,1,167.15,167.15,0,Credit Card,Chennai,Regular,22,Female,1,0.28,0.86
T10159,C407,Soap,2,482.32,771.71,20,Credit Card,Chennai,Rare,50,Female,1,0.9,0.57
T10160,C503,Rice,2,324.37,551.43,15,UPI,Mumbai,Rare,63,Female,1,0.69,0.79
T10161,C823,Maggie,6,21.48,128.88,0,UPI,Pune,Rare,42,Male,1,0.76,0.15
T10162,C236,Coke,7,220.79,1468.25,5,Debit Card,Mumbai,Regular,42,Male,1,0.66,0.82
T10163,C169,Juice,5,438.75,2193.75,0,Debit Card,Kolkata,Regular,52,Male,1,0.45,0.57
T10164,C864,Paneer,1,157.71,141.94,10,Net Banking,Mumbai,Regular,32,Male,1,0.3,0.5
T10165,C453,Sugar,1,56.33,47.88,15,Debit Card,Hyderabad,Regular,59,Male,1,0.93,0.2
T10166,C237,Rice,3,381.61,1030.35,10,Debit Card,Delhi,Regular,43,Male,1,0.56,0.77
T10167,C505,Biscuit,2,306.95,491.12,20,Net Banking,Delhi,Regular,27,Male,1,0.53,0.22
T10168,C298,Shampoo,5,289.45,1157.8,20,Credit Card,Chennai,Rare,41,Male,1,1.0,0.27
T10169,C872,Shampoo,6,36.25,217.5,0,Credit Card,Chennai,Regular,52,Female,1,0.45,0.21
T10170,C133,Soap,7,78.84,441.5,20,UPI,Ahmedabad,Rare,46,Male,1,0.87,0.11
T10171,C984,Coffee,4,315.05,1008.16,20,Net Banking,Hyderabad,Regular,55,Female,1,0.88,0.7
T10172,C988,Maggie,7,111.83,743.67,5,Credit Card,Chennai,Regular,22,Female,1,0.31,0.34
T10173,C724,Maggie,8,256.99,1953.12,5,Net Banking,Chennai,Regular,41,Female,1,0.19,0.23
T10174,C491,Biscuit,1,276.99,249.29,10,Net Banking,Ahmedabad,Regular,36,Male,1,0.98,0.39
T10175,C416,Milk,6,148.92,804.17,10,Debit Card,Delhi,Regular,63,Male,1,0.48,0.55
T10176,C848,Oil,8,474.73,3607.95,5,Debit Card,Delhi,Regular,61,Male,1,0.1,0.55
T10177,C829,Coffee,5,422.81,2114.05,0,Net Banking,Mumbai,Rare,26,Female,1,0.55,0.43
T10178,C799,Oil,4,363.96,1383.05,5,Net Banking,Ahmedabad,Regular,43,Male,1,0.66,0.55
T10179,C289,Chocolate,2,48.22,86.8,10,Cash,Hyderabad,Regular,42,Male,1,0.8,0.48
T10180,C643,Biscuit,6,62.0,316.2,15,Cash,Ahmedabad,Regular,52,Female,1,0.95,0.84
T10181,C188,Shampoo,6,251.46,1207.01,20,Credit Card,Kolkata,Regular,53,Male,1,0.92,0.13
T10182,C547,Maggie,1,88.75,75.44,15,Debit Card,Delhi,Rare,31,Female,1,0.95,0.88
T10183,C620,Butter,9,489.35,3743.53,15,Credit Card,Hyderabad,Rare,23,Female,1,0.13,0.32
T10184,C540,Rice,6,87.67,420.82,20,Debit Card,Ahmedabad,Regular,49,Female,1,0.74,0.75
T10185,C105,Oil,3,248.86,709.25,5,Cash,Kolkata,Regular,43,Male,1,0.3,0.46
T10186,C587,Paneer,4,188.42,753.68,0,Debit Card,Mumbai,Regular,32,Female,1,0.27,0.36
T10187,C265,Butter,4,323.3,1099.22,15,UPI,Ahmedabad,Regular,48,Female,1,0.82,0.65
T10188,C94,Biscuit,3,73.23,219.69,0,UPI,Mumbai,Regular,54,Male,1,0.48,0.79
T10189,C833,Toothpaste,3,220.86,596.32,10,Debit Card,Delhi,Regular,55,Female,1,0.92,0.5
T10190,C586,Coke,3,144.61,368.76,15,Credit Card,Kolkata,Rare,54,Male,1,0.14,0.52
T10191,C143,Butter,4,445.0,1602.0,10,Net Banking,Pune,Regular,36,Male,1,0.82,0.15
T10192,C602,Maggie,7,29.89,198.77,5,UPI,Ahmedabad,Rare,31,Female,1,0.22,0.93
T10193,C536,Tea,4,457.73,1556.28,15,Debit Card,Delhi,Regular,53,Male,1,0.26,0.86
T10194,C339,Butter,9,418.17,3387.18,10,UPI,Hyderabad,Regular,54,Male,1,0.53,0.46
T10195,C479,Atta,1,155.81,140.23,10,Net Banking,Kolkata,Rare,28,Male,1,0.46,0.79
T10196,C618,Atta,8,396.75,3015.3,5,Cash,Hyderabad,Rare,44,Male,1,0.54,0.38
T10197,C975,Chocolate,7,25.29,177.03,0,Debit Card,Kolkata,Regular,19,Female,1,0.95,0.76
T10198,C165,Tea,2,483.76,967.52,0,Cash,Mumbai,Rare,39,Male,1,0.69,0.57
T10199,C290,Shampoo,8,268.03,1822.6,15,Debit Card,Kolkata,Regular,19,Male,1,0.36,0.51
T10200,C231,Salt,1,158.61,150.68,5,Cash,Bangalore,Regular,37,Male,1,0.26,0.15
T10201,C806,Biscuit,9,187.67,1435.68,15,Credit Card,Hyderabad,Rare,61,Male,1,0.48,0.97
T10202,C346,Coffee,9,42.54,382.86,0,Cash,Delhi,Regular,34,Female,1,0.51,0.85
T10203,C633,Coke,2,494.78,940.08,5,Net Banking,Chennai,Regular,21,Female,1,0.64,0.81
T10204,C687,Butter,7,29.25,163.8,20,Net Banking,Ahmedabad,Regular,31,Male,1,0.34,0.37
T10205,C669,Sugar,3,330.9,943.06,5,UPI,Ahmedabad,Regular,24,Female,1,0.79,0.36
T10206,C800,Salt,7,226.94,1509.15,5,Cash,Hyderabad,Regular,32,Male,1,0.19,0.62
T10207,C726,Pepsi,9,474.97,3419.78,20,Net Banking,Chennai,Regular,47,Female,1,0.6,0.86
T10208,C866,Chocolate,4,130.54,469.94,10,Cash,Mumbai,Regular,33,Male,1,0.66,0.94
T10209,C608,Coke,1,270.72,243.65,10,Cash,Kolkata,Regular,57,Male,1,0.29,0.34
T10210,C11,Salt,2,246.35,443.43,10,Debit Card,Pune,Regular,19,Female,1,0.84,0.65
T10211,C440,Pepsi,1,354.4,354.4,0,UPI,Mumbai,Regular,36,Female,1,0.65,0.75
T10212,C495,Coffee,5,43.33,205.82,5,Debit Card,Bangalore,Regular,18,Female,1,0.68,0.3
T10213,C219,Shampoo,5,104.96,419.84,20,Cash,Ahmedabad,Rare,48,Female,1,0.55,0.47
T10214,C610,Rice,7,115.14,805.98,0,Credit Card,Delhi,Regular,21,Female,1,0.92,0.27
T10215,C762,Coffee,9,371.69,2676.17,20,UPI,Pune,Rare,44,Male,1,0.72,0.73
T10216,C924,Rice,9,102.68,924.12,0,UPI,Pune,Regular,42,Male,1,0.44,0.88
T10217,C506,Sugar,3,291.01,873.03,0,Net Banking,Chennai,Rare,39,Male,1,0.31,0.89
T10218,C930,Paneer,3,115.47,346.41,0,Debit Card,Pune,Regular,60,Male,1,0.16,0.7
T10219,C305,Biscuit,3,432.2,1037.28,20,Credit Card,Bangalore,Regular,27,Female,1,0.25,0.41
T10220,C921,Milk,4,471.67,1603.68,15,Net Banking,Delhi,Regular,50,Female,1,0.99,0.69
T10221,C826,Milk,8,264.06,2112.48,0,UPI,Mumbai,Rare,61,Male,1,0.47,0.88
T10222,C503,Juice,6,182.63,986.2,10,Cash,Mumbai,Regular,47,Male,1,0.91,0.66
T10223,C617,Cheese,8,124.69,947.64,5,UPI,Pune,Rare,47,Female,1,0.25,0.47
T10224,C635,Milk,1,34.39,29.23,15,Debit Card,Chennai,Regular,33,Female,1,0.48,0.93
T10225,C488,Coke,8,141.57,962.68,15,Net Banking,Pune,Regular,26,Female,1,0.96,0.85
T10226,C62,Pepsi,4,330.58,1057.86,20,Credit Card,Mumbai,Regular,34,Female,1,0.18,0.89
T10227,C499,Coke,1,271.47,230.75,15,Debit Card,Delhi,Regular,52,Female,1,0.63,0.91
T10228,C681,Paneer,8,472.58,3024.51,20,Net Banking,Bangalore,Regular,64,Male,1,0.93,0.45
T10229,C803,Rice,4,204.18,653.38,20,Cash,Bangalore,Rare,32,Male,1,0.95,0.87
T10230,C444,Pepsi,6,349.99,1889.95,10,Debit Card,Chennai,Rare,45,Male,1,0.86,0.61
T10231,C208,Sugar,8,249.77,1998.16,0,Credit Card,Chennai,Regular,37,Male,1,0.87,0.13
T10232,C159,Shampoo,4,261.16,887.94,15,Net Banking,Pune,Regular,50,Female,1,0.69,0.67
T10233,C666,Butter,3,141.21,423.63,0,UPI,Chennai,Rare,50,Male,1,0.3,0.52
T10234,C353,Juice,9,232.93,2096.37,0,Debit Card,Ahmedabad,Regular,53,Male,1,0.76,0.35
T10235,C208,Atta,3,240.68,722.04,0,Credit Card,Hyderabad,Rare,30,Male,1,0.98,0.97
T10236,C203,Toothpaste,9,356.25,2565.0,20,Net Banking,Mumbai,Regular,21,Male,1,0.57,0.15
T10237,C29,Biscuit,2,470.91,941.82,0,Debit Card,Bangalore,Regular,40,Male,1,0.33,0.95
T10238,C205,Sugar,2,171.37,291.33,15,Cash,Delhi,New,25,Female,1,0.62,0.24
T10239,C435,Tea,2,30.68,49.09,20,UPI,Hyderabad,Regular,30,Male,1,0.72,0.44
T10240,C388,Butter,6,253.18,1291.22,15,Debit Card,Mumbai,Regular,41,Male,1,0.29,0.48
T10241,C742,Milk,3,276.79,664.3,20,Credit Card,Hyderabad,Rare,57,Female,1,0.75,0.76
T10242,C164,Salt,9,92.54,791.22,5,Debit Card,Ahmedabad,Regular,63,Female,1,0.63,0.29
T10243,C736,Milk,4,382.63,1453.99,5,Credit Card,Delhi,Rare,47,Female,1,0.65,0.99
T10244,C663,Tea,1,492.62,467.99,5,Net Banking,Hyderabad,Regular,47,Female,1,0.38,0.77
T10245,C198,Salt,4,473.43,1799.03,5,Net Banking,Hyderabad,Regular,42,Male,1,0.24,0.81
T10246,C241,Shampoo,1,106.58,85.26,20,Net Banking,Delhi,Regular,50,Female,1,0.66,0.2
T10247,C956,Butter,5,438.93,2194.65,0,UPI,Mumbai,Regular,26,Male,1,0.63,0.53
T10248,C100,Coffee,4,355.2,1278.72,10,Credit Card,Ahmedabad,Rare,43,Female,1,0.4,0.95
T10249,C963,Paneer,8,232.38,1673.14,10,Debit Card,Ahmedabad,Regular,41,Male,1,0.37,0.34
T10250,C944,Shampoo,8,274.9,2089.24,5,UPI,Ahmedabad,Rare,50,Female,1,0.41,0.23
T10251,C551,Butter,7,426.3,2984.1,0,UPI,Ahmedabad,Rare,56,Female,1,0.54,0.54
T10252,C359,Butter,3,245.27,625.44,15,UPI,Delhi,Regular,42,Male,1,0.98,0.94
T10253,C657,Sugar,1,192.87,192.87,0,Net Banking,Delhi,Regular,62,Male,1,0.79,0.54
